아이템 명칭,아이템 아이디,뉴클래식
듀얼 베레타,1,1
P228,2,1
글록 18C,3,1
데저트 이글 50C,4,1
파이브-세븐,5,1
USP45,6,1
M3,7,1
XM1014 자동 샷건,8,1
TMP,9,1
MAC-10,10,1
P90,11,1
MP5,12,1
UMP45,13,1
AWP,14,1
M4A1,15,1
AUG,16,1
스카우트,17,1
SG550 코만도,18,1
SG552,19,1
파마스,20,1
AK-47,21,1
G3/SG-1,22,1
갈릴,23,1
M249,24,1
야간 투시경,25,1
연막 수류탄,26,1
케블러 방탄복,27,1
케블러 방탄복+헬멧,28,1
폭탄 해체 키트,29,1
섬광탄,30,1
HE 수류탄,31,1
QBB95,32,1
SCAR,33,1
XM-8,34,1
VSK94,35,1
K1A,36,1
MP7A1,37,1
USAS12,38,1
SVD,39,1
SCAR 5.56 리미티드,113,1
XM-8 카빈 리미티드,114,1
MG3,148,1
아나콘다,149,1
TRG-42,157,1
헌팅대거,158,1
AWP RED,159,1
M249 RED,160,1
씰 나이프,161,1
나타 나이프,164,1
M200,169,1
AKM 골드에디션,170,1
M4A1 스코프,171,1
데저트 이글 50C 골드에디션,172,1
해머,176,1
SL8,187,1
윈체스터 M1887,197,1
F2000,202,1
K1A 스페셜 에디션,203,1
버터플라이 나이프,211,1
M24 수류탄,212,1
M134 미니건,213,1
화염 수류탄,215,1
윈체스터 M1887 골드에디션,220,1
SL8 골드에디션,221,1
M24,233,1
쿠장,237,1
듀얼 인피니티,242,1
M4A1 골드에디션,244,1
듀얼 인피니티 커스텀,245,1
AWP CAMO,246,1
컴뱃 나이프,248,1
마스터 컴뱃 나이프,249,1
QBB95 + 추가 탄창,255,1
M79 소드오프,261,1
MP7A1 확장 탄창,262,1
M134 크리스마스 에디션,267,1
MG3 크리스마스 에디션,268,1
듀얼 인피니티 파이널,270,1
HK23E 경기관총,271,1
M4A1 드래곤,279,1
AK47 드래곤,280,1
드래곤 나이프,281,1
MP5 타이거,282,1
M14 EBR,304,1
더블바렐 샷건,307,1
인피니티 실버,308,1
톰슨 시카고 골드,309,1
USAS12 CAMO,310,1
인피니티 블랙,320,1
인피니티 레드,321,1
크리스 슈퍼V,322,1
WA2000,337,1
골드 루거,341,1
TRG-42 화이트골드,342,1
TAR-21,343,1
바렛 M95,344,1
카타나,345,1
MP5 골드에디션,346,1
듀얼 크리스,347,1
MG3 골드에디션,354,1
M60E4,355,1
AN94,356,1
M16A4,357,1
P90 라팡,364,1
톰슨 시카고,370,1
루거 P08 ,371,1
MG36,372,1
WA2000 골드에디션,380,1
XM2010,382,1
SL8 커스텀,383,1
KSG12,384,1
AS50,385,1
M134 프레데터,397,1
디바인 록,399,1
StG44,400,1
HK23E 골드에디션,406,1
QBZ95B,413,1
PKM,414,1
M79 소드오프 골드,416,1
AT4CS,417,1
M14 EBR 골드,420,1
와일드윙,421,1
SPAS-12,422,1
SPAS-12 디럭스,423,1
M95 크리스마스 에디션,424,1
TMP 드래곤,429,1
SPAS-12 슈페리얼,430,1
MK48,431,1
StG44 골드에디션,434,1
토마호크,436,1
MP7A1 확장 탄창,438,1
KSG12 골드에디션,441,1
파커헤일 M82,442,1
FN FNC,443,1
L85A2,444,1
AutoMag V,445,1
AKM,446,1
HK416,447,1
AW50,448,1
Blaser R93,449,1
글록 RED,450,1
USP45 RED,451,1
XM1014 RED,452,1
데저트 이글 RED,453,1
스카우트 RED,454,1
M249 CAMO,456,1
M32 MGL,463,1
킹코브라,469,1
듀얼 카타나,480,1
AS50 핑크 골드,484,1
M16A1,486,1
OICW,487,1
M60E4 골드에디션,488,1
AK47 RED,491,1
M4A1 RED,492,1
UTS-15,493,1
더블바렐 샷건 골드,496,1
